Case,Time Uncertainty,Mean Error,Total Communication,Effectiveness
Kalman,1e-09,0.12038978194706584,212.0,0.16325378892168912
Kalman,1e-09,0.10636236361221992,265.0,0.14782738843202178
Kalman,1e-09,0.1028752256765498,296.0,0.13683154990915666
Kalman,1e-09,0.11539961677354584,174.0,0.2075081427718065
Kalman,1e-09,0.12327955772478912,180.0,0.18776955867918
Kalman,1e-09,0.08276643054542408,365.0,0.137924579312263
Kalman,1e-09,0.08541433799414909,422.0,0.1155967244539114
Kalman,1e-09,0.1099007454976506,217.0,0.1747142732444768
Kalman,1e-09,0.08550518658457429,354.0,0.13765533169675243
Kalman,1e-09,0.08455563793923425,432.0,0.11406763597864955
Kalman,1e-09,0.0815775444267931,585.0,0.08730965331885898
Kalman,1e-09,0.09332048608193431,286.0,0.15611539524101237
Kalman,1e-09,0.10135883850881794,210.0,0.19575273486923103
Kalman,1e-09,0.12535811196011196,197.0,0.16872136861244394
Kalman,1e-09,0.08820101222191026,444.0,0.10639769485608219
Kalman,1e-09,0.10755195795998407,272.0,0.14243001932777327
Kalman,1e-09,0.10557027568412003,235.0,0.1679497030674871
Kalman,1e-09,0.1216690757714184,175.0,0.19569084139551723
Kalman,1e-09,0.10790606960380959,258.0,0.14966600915342235
Kalman,1e-09,0.10448053234437517,244.0,0.16344195755009253
Kalman,1e-09,0.11640954844215476,273.0,0.13111050997761906
Kalman,1e-09,0.10721977234546304,237.0,0.16397042846356769
Kalman,1e-09,0.1026853896218328,247.0,0.16427941578241387
Kalman,1e-09,0.11283558054973673,206.0,0.17925673017575192
Kalman,1e-09,0.10981443353023795,281.0,0.1350277443352522
Kalman,1e-09,0.0771529793084579,473.0,0.11417602425577006
Kalman,1e-09,0.11506420293619514,269.0,0.1346158645962095
Kalman,1e-09,0.10577257887929412,239.0,0.16482298085281893
Kalman,1e-09,0.11677978413795602,205.0,0.17404727540874412
Kalman,1e-09,0.10195211901640121,245.0,0.16681166497728728
Kalman,1e-09,0.1017663045958899,278.0,0.14727870538134358
Kalman,1e-09,0.10635270460456211,255.0,0.15363849317984185
Kalman,1e-09,0.10078257242258062,295.0,0.1401461924000875
Kalman,1e-09,0.11700545625523925,180.0,0.19783819395269975
Kalman,1e-09,0.12753093782868863,164.0,0.19921835828706144
Kalman,1e-09,0.11758568188948453,187.0,0.18949279853341872
Kalman,1e-09,0.11590881478615686,272.0,0.1321610222591105
Kalman,1e-09,0.11736700808898919,178.0,0.19944480209145404
Kalman,1e-09,0.08486485987979843,444.0,0.11058033204410299
Kalman,1e-09,0.11663141370598706,217.0,0.16463170828960444
Kalman,1e-09,0.07473604748704162,708.0,0.07874543287249104
Kalman,1e-09,0.08615464740389966,328.0,0.14744708980081472
Kalman,1e-09,0.12478624969243829,163.0,0.20484927026128963
Kalman,1e-09,0.1056492875858863,269.0,0.14661213072296053
Kalman,1e-09,0.07209728486042306,1000.0,0.05779228267379467
Kalman,1e-09,0.13393869538866693,157.0,0.1981449651620275
Kalman,1e-09,0.11867765216666726,276.0,0.1272069179148126
Kalman,1e-09,0.10873656844578528,193.0,0.1985435697299641
Kalman,1e-09,0.10512533559686987,320.0,0.12386008814530748
Kalman,1e-09,0.1145003843585082,205.0,0.17751209627727516
Kalman,1e-09,0.11199701919325043,248.0,0.15001359312810827
Kalman,1e-09,0.11694530598274391,262.0,0.1359892793849063
Kalman,1e-09,0.09301957050394795,307.0,0.14590697476262826
Kalman,1e-09,0.08988311984578322,326.0,0.14219784667019597
Kalman,1e-09,0.10959739923649922,189.0,0.2011530887846724
Kalman,1e-09,0.10557756581807959,270.0,0.14616835163658826
Kalman,1e-09,0.1038773385138198,240.0,0.16713088109011762
Kalman,1e-09,0.12340891280281935,187.0,0.180551302354474
Kalman,1e-09,0.11127659739530914,199.0,0.18816196703251195
Kalman,1e-09,0.09309063481181082,389.0,0.11506233023155496
Kalman,1e-09,0.10230285574199889,221.0,0.18429295240624902
Kalman,1e-09,0.08837258094221077,385.0,0.12246457789422213
Kalman,1e-09,0.13380167387174324,170.0,0.18318009941387367
Kalman,1e-09,0.11030295877254888,178.0,0.21221769534436227
Kalman,1e-09,0.08400432139711982,442.0,0.11221860382131472
Kalman,1e-09,0.08339253933712426,353.0,0.1415424975023606
Kalman,1e-09,0.10010272856002923,233.0,0.1786433777954961
Kalman,1e-09,0.10426695548018597,215.0,0.1858675634287902
Kalman,1e-09,0.10148243460541947,196.0,0.20947963540702513
Kalman,1e-09,0.07525974898334356,504.0,0.10984883525223368
Kalman,1e-09,0.1057328182388979,209.0,0.18855266017487238
Kalman,1e-09,0.11704386143521932,228.0,0.15613679843674877
Kalman,1e-09,0.08197700225713286,422.0,0.12044375156038103
Kalman,1e-09,0.09971737826794932,289.0,0.14458394282918882
Kalman,1e-09,0.11186248630982482,212.0,0.17569865196701123
Kalman,1e-09,0.12700997677446518,184.0,0.17829250985883616
Kalman,1e-09,0.09689729135080605,304.0,0.14145019081344193
Kalman,1e-09,0.11039281294916323,218.0,0.17313762858725737
Kalman,1e-09,0.1151594320867038,183.0,0.19771433305186267
Kalman,1e-09,0.10534390731808484,239.0,0.1654936881231692
Kalman,1e-09,0.10183368945118791,211.0,0.19391652697127587
Kalman,1e-09,0.0718616670845683,949.0,0.06109775573673334
Kalman,1e-09,0.12132220410180895,216.0,0.15899911808890801
Kalman,1e-09,0.09130898231239516,634.0,0.07197571669572482
Kalman,1e-09,0.10561125377201185,315.0,0.12524719435741294
Kalman,1e-09,0.10377426250274918,270.0,0.1487083443741484
Kalman,1e-09,0.11550555579661177,242.0,0.1490632267448
Kalman,1e-09,0.10609257632467824,298.0,0.13179152955516477
Kalman,1e-09,0.07517106082470955,1000.0,0.0554291321813705
Kalman,1e-09,0.10218721746495098,305.0,0.13368797511761177
Kalman,1e-09,0.10401787867129807,270.0,0.14836006042959535
Kalman,1e-09,0.10471800437733046,307.0,0.12960716933685368
Kalman,1e-09,0.08608145547724301,367.0,0.13189037180058474
Kalman,1e-09,0.1278738221487733,191.0,0.1705979250438223
Kalman,1e-09,0.11233428806028128,218.0,0.17014528847005486
Kalman,1e-09,0.10521057778531878,270.0,0.14667820565457926
Kalman,1e-09,0.11689442829512196,269.0,0.13250817329995868
Kalman,1e-09,0.10794036325434583,216.0,0.1787109369952345
Kalman,1e-09,0.08210988213987566,1000.0,0.05074500849445472
Kalman,1e-09,0.07552203202385288,497.0,0.11100913097188166
Kalman,2e-09,0.19152227031609034,212.0,0.1026203794361729
Kalman,2e-09,0.18096940548508206,265.0,0.08688358343282339
Kalman,2e-09,0.1745174291486274,296.0,0.080660004248563
Kalman,2e-09,0.19348128693247976,174.0,0.12376576842603593
Kalman,2e-09,0.19748068577817593,180.0,0.11721727649938263
Kalman,2e-09,0.14920764614520862,365.0,0.07650764159261436
Kalman,2e-09,0.1491632554521972,422.0,0.06619336420079097
Kalman,2e-09,0.1804823283661009,217.0,0.10638841515663151
Kalman,2e-09,0.15367821254189976,354.0,0.07659019861311289
Kalman,2e-09,0.14886815308183401,432.0,0.06478928856659553
Kalman,2e-09,0.1547856555588062,585.0,0.04601529190023127
Kalman,2e-09,0.16817570836524318,286.0,0.08662823371092453
Kalman,2e-09,0.1739471549892805,210.0,0.11406492875662473
Kalman,2e-09,0.19548979159936758,197.0,0.10819282195526411
Kalman,2e-09,0.1527667015987651,444.0,0.06142951498050962
Kalman,2e-09,0.18284124424680492,272.0,0.08378102825805989
Kalman,2e-09,0.17531274567666905,235.0,0.10113637993327211
Kalman,2e-09,0.1934744385689105,175.0,0.1230628913340585
Kalman,2e-09,0.17975472498731515,258.0,0.08984392928849713
Kalman,2e-09,0.17387286966348958,244.0,0.09821257776034867
Kalman,2e-09,0.19238791282215886,273.0,0.07933198629075909
Kalman,2e-09,0.17795943507490947,237.0,0.09879145774907266
Kalman,2e-09,0.17505104630401586,247.0,0.09636672372221773
Kalman,2e-09,0.1810233072082884,206.0,0.11173443645881187
Kalman,2e-09,0.18563328511078914,281.0,0.07987789068211511
Kalman,2e-09,0.1412405957891601,473.0,0.06236889888284858
Kalman,2e-09,0.1901683197497268,269.0,0.08145135416201135
Kalman,2e-09,0.1742009377695718,239.0,0.10007840351833273
Kalman,2e-09,0.1854382345485284,205.0,0.10960632418398861
Kalman,2e-09,0.17433973435996086,245.0,0.0975497799369955
Kalman,2e-09,0.17881756227713344,278.0,0.08381732421280609
Kalman,2e-09,0.1778647640525802,255.0,0.09186681447605538
Kalman,2e-09,0.17276092897440642,295.0,0.08175629680367816
Kalman,2e-09,0.19285414714983654,180.0,0.12002929929302154
Kalman,2e-09,0.20778161715027166,164.0,0.12227503286138243
Kalman,2e-09,0.19144954528049646,187.0,0.11638387490580607
Kalman,2e-09,0.19066287022009598,272.0,0.08034405143118316
Kalman,2e-09,0.19414719954980386,178.0,0.12056954596643411
Kalman,2e-09,0.14894756207049611,444.0,0.06300461890032684
Kalman,2e-09,0.18250849347030002,217.0,0.1052073167311136
Kalman,2e-09,0.14587677695848505,708.0,0.04034310692387302
Kalman,2e-09,0.1573587426002652,328.0,0.08072797114800355
Kalman,2e-09,0.204174109341465,163.0,0.12519889162532366
Kalman,2e-09,0.18340321537365295,269.0,0.08445581027994767
Kalman,2e-09,0.1381800613293373,1000.0,0.030153892150444665
Kalman,2e-09,0.21534465768721903,157.0,0.12324094043782707
Kalman,2e-09,0.1931845395513448,276.0,0.07814610005825817
Kalman,2e-09,0.18160398997654484,193.0,0.11887925183913146
Kalman,2e-09,0.17276835400108276,320.0,0.07536584699563514
Kalman,2e-09,0.18083101873003954,205.0,0.11239887600465147
Kalman,2e-09,0.18357990449817105,248.0,0.09151914156804995
Kalman,2e-09,0.18990038652734695,262.0,0.08374552668828047
Kalman,2e-09,0.1673762625511083,307.0,0.08108798654651393
Kalman,2e-09,0.1593161347874715,326.0,0.08022530869908245
Kalman,2e-09,0.1824577585114146,189.0,0.12082717424049425
Kalman,2e-09,0.18433832979391512,270.0,0.0837161689741072
Kalman,2e-09,0.17503355648063518,240.0,0.0991873299051194
Kalman,2e-09,0.19002450296377585,187.0,0.1172566673306667
Kalman,2e-09,0.18248505383563204,199.0,0.11473829231760296
Kalman,2e-09,0.1578486329112202,389.0,0.06785757447900133
Kalman,2e-09,0.16890978433830203,221.0,0.11161991235819896
Kalman,2e-09,0.15446164017548944,385.0,0.07006600998289916
Kalman,2e-09,0.20742213968806342,170.0,0.11816387565198327
Kalman,2e-09,0.18736674495696168,178.0,0.12493273395848035
Kalman,2e-09,0.1471842086415484,442.0,0.06404795561390604
Kalman,2e-09,0.15162560129374747,353.0,0.07784693475327477
Kalman,2e-09,0.1708836284005306,233.0,0.10464834884354418
Kalman,2e-09,0.172816703915725,215.0,0.11214104031686078
Kalman,2e-09,0.17437607873567265,196.0,0.12191181012611925
Kalman,2e-09,0.13737528971392687,504.0,0.06017964209146743
Kalman,2e-09,0.17596429136428432,209.0,0.11329687399733954
Kalman,2e-09,0.17918208154357354,228.0,0.10199040910642344
Kalman,2e-09,0.14763491353394081,422.0,0.06687860924748665
Kalman,2e-09,0.17269930380012588,289.0,0.08348343856241576
Kalman,2e-09,0.18122110486579346,212.0,0.10845363769782582
Kalman,2e-09,0.19921751982654606,184.0,0.11366935777510069
Kalman,2e-09,0.16831895832409993,304.0,0.08142956971303182
Kalman,2e-09,0.17955894958462587,218.0,0.10644498584620424
Kalman,2e-09,0.18964579844597004,183.0,0.12005892298289274
Kalman,2e-09,0.17414351315557974,239.0,0.1001114048262014
Kalman,2e-09,0.1729587286323548,211.0,0.11417310674745422
Kalman,2e-09,0.13232921815832605,949.0,0.03317926791582991
Kalman,2e-09,0.18858340159945364,216.0,0.10228961453225802
Kalman,2e-09,0.1769492818743235,634.0,0.03714075227137471
Kalman,2e-09,0.1763154088656629,315.0,0.07502187876041763
Kalman,2e-09,0.18158549513016553,270.0,0.08498530543075558
Kalman,2e-09,0.1848462565122726,242.0,0.09314568322270216
Kalman,2e-09,0.17903435401679466,298.0,0.07809731816590791
Kalman,2e-09,0.14673044242581224,1000.0,0.028396743019250128
Kalman,2e-09,0.17441779402419552,305.0,0.07832458988615144
Kalman,2e-09,0.18259394125627684,270.0,0.08451594099594258
Kalman,2e-09,0.17656053615290426,307.0,0.07686997571301157
Kalman,2e-09,0.15276037700914008,367.0,0.0743210732410654
Kalman,2e-09,0.19739370632338588,191.0,0.11051521921506671
Kalman,2e-09,0.17909392214155997,218.0,0.10672137623959861
Kalman,2e-09,0.18408169353675205,270.0,0.0838328813090318
Kalman,2e-09,0.19395885263907078,269.0,0.07985955243380029
Kalman,2e-09,0.17746431371752583,216.0,0.10869860566724796
Kalman,2e-09,0.16087707516396899,1000.0,0.025899691813889084
Kalman,2e-09,0.1361462657741441,497.0,0.061578149768031935
Kalman,3e-09,0.2662582644655127,212.0,0.07381587981792083
Kalman,3e-09,0.2613760353072524,265.0,0.060155746190612217
