Case,Time Uncertainty,Mean Error,Total Communication,Effectiveness
No Filter,1e-09,0.2924077905482685,112.0,0.12722773522082292
No Filter,1e-09,0.2896003942306661,105.0,0.13702515767617576
No Filter,1e-09,0.2845097180836085,179.0,0.0818160714099232
No Filter,1e-09,0.28311118466970686,118.0,0.12472391193047455
No Filter,1e-09,0.2769185353520332,88.0,0.1709834438792369
No Filter,1e-09,0.2980656537922779,209.0,0.06688527810260224
No Filter,1e-09,0.27939223802783525,99.0,0.15063962544066453
No Filter,1e-09,0.2852677946408586,122.0,0.11972261189693081
No Filter,1e-09,0.28464344277834364,113.0,0.1295415625326616
No Filter,1e-09,0.2849233369208808,175.0,0.08356466713758648
No Filter,1e-09,0.28617847491628773,173.0,0.08415999291031151
No Filter,1e-09,0.2914962025370695,120.0,0.11911723693143689
No Filter,1e-09,0.2886718911590902,121.0,0.11928858597809004
No Filter,1e-09,0.28112250970042163,127.0,0.1167049873917728
No Filter,1e-09,0.2823088747094145,101.0,0.14613116734287881
No Filter,1e-09,0.29566446861024237,119.0,0.11842480013517574
No Filter,1e-09,0.28946881266595187,168.0,0.08567965257869914
No Filter,1e-09,0.2743669122595628,490.0,0.030992809193040146
No Filter,1e-09,0.2862647675179014,121.0,0.1202916516991061
No Filter,1e-09,0.28253723968372063,539.0,0.02736051673002675
No Filter,1e-09,0.29475127243610294,110.0,0.12851102411101334
No Filter,1e-09,0.27684414890333625,98.0,0.15357740797897976
No Filter,1e-09,0.2856238116279215,101.0,0.144435175685851
No Filter,1e-09,0.2910702731732612,111.0,0.12896383106492332
No Filter,1e-09,0.29567198673371736,141.0,0.09994463036426027
No Filter,1e-09,0.2971083079179358,286.0,0.04903519753741994
No Filter,1e-09,0.2859940740179311,118.0,0.12346666477104327
No Filter,1e-09,0.2735458488042827,396.0,0.03846479691751327
No Filter,1e-09,0.2925879896152761,556.0,0.02561282438837266
No Filter,1e-09,0.28156548788444424,139.0,0.10646197944882568
No Filter,1e-09,0.2857105827782237,152.0,0.09594422591980971
No Filter,1e-09,0.2829279593835975,101.0,0.1458114125674245
No Filter,1e-09,0.2769536318000313,95.0,0.15836459279391205
No Filter,1e-09,0.29004573955978324,201.0,0.07147039960060042
No Filter,1e-09,0.2861536524711236,161.0,0.09044063201980834
No Filter,1e-09,0.2825646179875981,125.0,0.117967116940297
No Filter,1e-09,0.2768950397138674,132.0,0.11399863500001764
No Filter,1e-09,0.2869802062968307,131.0,0.11083208903677161
No Filter,1e-09,0.2852014570871353,128.0,0.11413715647107636
No Filter,1e-09,0.28100145230340995,428.0,0.034644669671316505
No Filter,1e-09,0.28889303275438705,153.0,0.0942671244396635
No Filter,1e-09,0.286163988604363,121.0,0.1203340150377816
No Filter,1e-09,0.289611887831324,168.0,0.08563732479114344
No Filter,1e-09,0.28624023022277467,114.0,0.12768892609502625
No Filter,1e-09,0.2850653345388773,118.0,0.12386891770055312
No Filter,1e-09,0.2794993469541267,451.0,0.0330545629233266
No Filter,1e-09,0.27483418796626946,507.0,0.029902675172476405
No Filter,1e-09,0.28063089741448544,126.0,0.11783728510813701
No Filter,1e-09,0.287249444377734,157.0,0.09239105123119257
No Filter,1e-09,0.2906937195915464,165.0,0.08686986869894392
No Filter,1e-09,0.27940369661724546,128.0,0.11650555711124455
No Filter,1e-09,0.28396778589138766,81.0,0.18114846744546564
No Filter,1e-09,0.2818873606542313,149.0,0.09920347528762125
No Filter,1e-09,0.28982385157980634,193.0,0.07448988874357021
No Filter,1e-09,0.27616643774222593,136.0,0.11093764742896682
No Filter,1e-09,0.2732011831881741,90.0,0.16945862296800002
